15785,128,193,4547,32,128,15785,64,32,9094,32,17575,13350,22026,160,8964,13544,64,9159,6724,6949,9191,96,9159,64,64,64,6788,15720,15753,2561,4708,2434,2499,6853,128,6853,4611,2338,4643,6884,15688,15753,385,96,9095,128,19946,2593,17833,128,15753,416,160,257,2305,96,11432,9094,4869,128,13641,128,21897,6915,22026,4482,4675,6821,64,2465,19881,96,9127,2306,9094,9062,224,9062,32
11367,32,2338,4579,32,6852,15785,2498,2306,9094,2402,6755,15688,13479,96,11302,15656,160,6886,8998,257,6788,6918,4676,96,128,128,192,13576,11463,160,4547,4579,160,4579,4644,2435,2305,4579,4515,225,13576,11431,161,4579,9126,225,13351,13576,9029,2434,15753,7013,128,2305,2273,128,9126,9126,192,4611,13672,4611,11044,15688,13383,128,4676,4612,64,11206,19881,2369,6821,6885,2466,4546,6821,6724,64
15591,96,32,32,32,2370,4483,160,2306,6853,64,160,4547,4547,128,11463,13576,192,11302,13544,4642,2305,4676,96,2498,9319,11335,160,9030,6885,129,2371,4611,129,4483,9062,129,161,2306,2305,161,11335,9351,161,4579,4644,225,9126,11431,6981,4515,11528,289,128,225,2273,128,129,129,128,4611,9223,96,2370,6756,4644,128,9094,4676,96,6981,9287,96,2338,6756,64,2499,11560,160,64
24074,224,32,32,32,4547,2306,2434,128,6885,64,4515,2402,4676,4610,17801,17801,4706,15785,11238,13479,161,4740,128,11367,7044,13737,192,8901,7046,129,193,4708,161,2306,9127,161,2338,225,2402,4740,11528,13673,353,6821,4611,4579,15785,2562,15753,2338,13609,353,193,257,2305,128,161,129,129,2338,11336,128,6853,2337,6949,128,9030,4836,96,4546,11560,96,2241,6821,64,2337,13673,192,64
24074,192,32,32,32,4579,2305,2434,64,6885,64,2499,2402,4676,4675,17801,17801,4738,15817,11238,13479,128,6788,129,11431,7045,13705,192,6821,7046,161,129,4708,2209,161,9127,161,2370,2273,2402,4772,11560,13673,353,6853,4611,2531,15817,2530,13705,193,11560,353,2241,2306,2338,161,161,161,161,161,11368,161,6886,2338,8998,128,6949,6885,96,289,11592,96,96,6821,96,64,13673,192,64
15559,64,64,64,64,2402,2435,160,2273,6885,2370,193,4579,2467,160,13576,11463,192,13447,11495,2530,2305,6820,2370,4643,11464,9222,160,9030,9191,193,2402,4740,225,2434,9159,4547,2273,2370,2338,2305,11464,9319,225,4644,6724,2273,11270,11464,6948,2402,13608,6949,193,2306,257,193,193,193,161,4579,11368,4547,4482,6821,4644,128,9126,9062,129,6949,11592,2305,2338,6853,2305,2434,13672,6884,64
13479,96,4547,4612,64,4612,9030,64,4483,4644,4547,2273,8998,6917,161,13511,13608,224,9126,11368,2498,7013,11431,9093,2338,9159,2369,225,13544,13576,289,4644,6789,2305,2370,4515,2370,2306,6885,257,2305,11431,11464,257,6724,9030,2273,4547,4676,2467,4450,11271,257,2273,6885,4676,193,6821,9062,193,6756,8966,4611,4579,17802,352,257,11432,11399,160,11270,15559,128,6917,17736,160,8964,15688,15462,128
17865,224,6788,6788,2273,2273,9159,64,6853,128,6885,6917,4772,11271,4675,17801,17801,4738,11528,9061,9287,15753,2497,15785,2338,9159,2401,6820,15721,17866,2658,6885,4644,4708,4611,257,4612,2338,6917,289,6852,13641,13737,2497,2402,11208,257,6821,2337,6821,2370,11272,2337,2305,6821,6852,2273,2434,11304,225,11207,2370,9159,4515,17865,417,9029,11463,15785,321,4771,19881,160,2531,19913,192,21897,4834,24106,2434
17865,224,6788,4740,2273,64,9159,96,6885,128,6885,6949,4772,11271,4707,17833,17801,4738,11560,9061,9287,15785,449,15785,225,11239,2433,6852,15720,17833,2626,6917,4644,4708,4611,257,4612,2305,6917,2370,6885,13641,13705,2530,2337,11208,2305,6853,2337,6853,2306,11272,2369,2305,6789,6853,2305,2305,11304,225,11207,2370,9127,225,17833,449,9061,11463,15785,289,2529,19881,193,193,19913,224,23977,6882,24106,2435
11367,64,4644,4612,96,4580,9191,2370,4547,4676,4547,2370,9062,6885,225,15656,13544,257,9223,9255,2498,9158,11431,9093,2338,11271,6853,2369,13608,13544,2338,6789,6788,2370,4515,4579,2434,2370,6918,4644,2402,13576,11432,2370,6756,11272,2467,4644,6756,2499,4483,11272,6788,2337,8966,6950,2338,6821,11368,2402,6885,6950,4611,4547,17866,9093,2401,13544,9319,225,9190,17865,2434,6853,17897,4740,13157,15720,13382,160
